"Game","GameTime","Player","PropType","MarketType","Line","Odds","Bookmaker","Timestamp"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_threes","Under","2.5","1.68","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_threes","Over","2.5","2.44","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_threes","Under","2.5","1.52","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_threes","Over","1.5","1.53","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_threes","Under","1.5","2.43","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_threes","Over","1.5","1.75","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_threes","Under","1.5","2.01","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_threes","Over","1.5","2.26","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_threes","Under","1.5","1.6","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_threes","Over","1.5","2.48","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_threes","Under","1.5","1.51","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_threes","Over","1.5","2.7","DraftKings","2026-03-31 11:24:25"
