Sport,site,flexType,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp
NBA,PP,6F,0.3496196285337534,0.1972589990470898,0.4938275878104923,0.5755634335410587,7.5563433541058656,prizepicks-10268481-steals-0.5,prizepicks-10251823-rebounds_assists-9,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,prizepicks-10273470-rebounds-4,prizepicks-10263717-rebounds_assists-8.5,0.016172021450931523,0.016172021450931523,0.008086010725465761,6.0645080440993215,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3496196285337534,0.1972589990470898,0.4938275878104923,0.5755604389837442,7.55604389837443,prizepicks-10268481-steals-0.5,prizepicks-10260600-rebounds-5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10265373-rebounds-5.5,0.016170857503900692,0.016170857503900692,0.008085428751950346,6.064071563962759,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.34701604686285936,0.06735080234314297,0.06735080234314297,0.5830068178529965,8.300681785299647,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10260527-rebounds-5,,0.013813491847411792,0.013813491847411792,0.006906745923705896,5.180059442779422,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.34608956146364167,0.19684001089930686,0.4932093537240035,0.5752781386882787,7.52781386882787,prizepicks-10268481-steals-0.5,prizepicks-10251823-rebounds_assists-9,prizepicks-10268845-points_assists-14.5,prizepicks-10273468-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10273470-rebounds-4,0.016060941371051806,0.016060941371051806,0.008030470685525903,6.022853014144427,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.3440344378934701,0.03584091834382587,0.03584091834382587,0.5742247399437278,7.4224739943727815,prizepicks-10268481-steals-0.5,prizepicks-10262619-assists-4,prizepicks-10268358-pra-15.5,prizepicks-10273468-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10263717-rebounds_assists-8.5,0.007085033341392297,0.007085033341392297,0.0035425166706961487,2.6568875030221113,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3437404976957579,0.19656100635912652,0.4927972496765698,0.5750761631093484,7.507616310934849,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10268358-pra-15.5,prizepicks-10265373-rebounds-5.5,0.015982069630132698,0.015982069630132698,0.007991034815066349,5.993276111299761,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3425672585449213,0.19642160034179684,0.49259121337890616,0.5750025069948,7.5002506994800004,prizepicks-10273468-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10273683-rebounds_assists-5,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,0.015953258785710397,0.015953258785710397,0.007976629392855199,5.9824720446413995,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3425672585449213,0.19642160034179684,0.49259121337890616,0.5750127458275648,7.501274582756475,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273491-assists-4,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10273470-rebounds-4,prizepicks-10265373-rebounds-5.5,0.015957265278853546,0.015957265278853546,0.007978632639426773,5.9839744795700796,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.34139488052758127,0.19628225848637967,0.4923851876199136,0.574884488772191,7.488448877219091,prizepicks-10268481-steals-0.5,prizepicks-10260527-rebounds-5,prizepicks-10265373-rebounds-5.5,prizepicks-10273683-rebounds_assists-5,prizepicks-10273491-assists-4,prizepicks-10273468-rebounds-4,0.01590704192510771,0.01590704192510771,0.007953520962553855,5.965140721915391,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.33905270582911506,0.1960037672413912,0.4919731678817846,0.5747304455320992,7.473044553209916,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10251823-rebounds_assists-9,prizepicks-10268845-points_assists-14.5,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10273470-rebounds-4,0.015846617864235482,0.015846617864235482,0.007923308932117741,5.942481699088305,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.33894872551612565,0.06694743627580628,0.06694743627580628,0.582333705997486,8.233370599748609,prizepicks-10273683-rebounds_assists-5,prizepicks-10260600-rebounds-5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,,0.01357730534455146,0.01357730534455146,0.00678865267227573,5.091489504206797,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.33788290811645183,0.1958646178418288,0.49176717398454334,0.5746021884767254,7.460218847672532,prizepicks-10273683-rebounds_assists-5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10262619-assists-4,prizepicks-10268845-points_assists-14.5,prizepicks-10251823-rebounds_assists-9,0.01579622238004704,0.01579622238004704,0.00789811119002352,5.92358339251764,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.33788290811645183,0.1958646178418288,0.49176717398454334,0.5745909975955146,7.459099759551453,prizepicks-10273470-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10265373-rebounds-5.5,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,prizepicks-10260600-rebounds-5,0.01579182147715946,0.01579182147715946,0.00789591073857973,5.921933053934797,HALF_KELLY,,,2026-03-03T16:41:59 ET
